Pais;Idade;Salario;Comprou
Franca;34.0;65509.0;Nao
Alemanha;32.0;87572.0;Nao
Espanha;41.0;56648.0;Sim
Espanha;30.0;54760.0;Sim
Franca;44.0;59708.0;Sim
Espanha;22.0;55452.0;Sim
Espanha;50.0;71999.0;Sim
Alemanha;44.0;35755.0;Sim
Alemanha;42.0;44194.0;Nao
Alemanha;49.0;43982.0;Nao
Alemanha;56.0;74254.0;Sim
Franca;50.0;85659.0;Nao
Alemanha;21.0;58433.0;Sim
Espanha;27.0;57467.0;Sim
Franca;33.0;61050.0;Nao
Espanha;40.0;77428.0;Nao
Espanha;45.0;46089.0;Nao
Espanha;;63575.0;Sim
Alemanha;41.0;74627.0;Nao
Alemanha;32.0;67516.0;Nao
Franca;33.0;;Nao
Franca;;75015.0;Nao
Alemanha;30.0;20000.0;Nao
Espanha;26.0;70168.0;Nao
Franca;30.0;50188.0;Nao
Alemanha;50.0;32540.0;Nao
Alemanha;30.0;67668.0;Nao
Alemanha;66.0;80604.0;Sim
Espanha;44.0;57938.0;Nao
Alemanha;41.0;74293.0;Sim
Alemanha;31.0;84184.0;Sim
Alemanha;47.0;79723.0;Nao
Alemanha;34.0;84599.0;Nao
Franca;41.0;71131.0;Nao
Franca;65.0;61131.0;Sim
Alemanha;39.0;35970.0;Nao
Espanha;51.0;56309.0;Sim
Franca;32.0;47351.0;Nao
Alemanha;39.0;92564.0;Nao
Franca;57.0;57361.0;Nao
Franca;33.0;61848.0;Nao
Espanha;58.0;68272.0;Nao
Alemanha;47.0;60654.0;Nao
Alemanha;34.0;;Sim
Espanha;46.0;50660.0;Sim
Espanha;49.0;62919.0;Nao
Alemanha;46.0;48862.0;Nao
Alemanha;24.0;40199.0;Sim
Espanha;32.0;50823.0;Nao
Franca;37.0;59444.0;Sim
Franca;39.0;53560.0;Nao
Espanha;46.0;49613.0;Nao
Franca;41.0;38905.0;Nao
Espanha;26.0;58753.0;Nao
Franca;43.0;37429.0;Sim
Franca;46.0;71400.0;Sim
Alemanha;45.0;61236.0;Nao
Alemanha;50.0;38136.0;Nao
Franca;48.0;55361.0;Sim
Franca;44.0;48717.0;Nao
Alemanha;;64787.0;Sim
Alemanha;23.0;80106.0;Nao
Alemanha;44.0;31872.0;Nao
Espanha;42.0;61725.0;Sim
Franca;42.0;57598.0;Sim
Alemanha;;70070.0;Nao
Franca;29.0;63197.0;Nao
Espanha;50.0;48720.0;Nao
Espanha;39.0;55214.0;Nao
Alemanha;46.0;48059.0;Nao
Espanha;40.0;;Nao
Franca;40.0;60319.0;Nao
Alemanha;49.0;88517.0;Sim
Franca;34.0;59090.0;Sim
Franca;;49373.0;Sim
Espanha;35.0;37294.0;Nao
Espanha;35.0;32952.0;Sim
Espanha;36.0;36237.0;Nao
Espanha;42.0;64006.0;Nao
Espanha;35.0;67630.0;Nao
Alemanha;52.0;36282.0;Sim
Franca;31.0;73425.0;Sim
Franca;38.0;52754.0;Sim
Franca;35.0;62201.0;Sim
Franca;54.0;84183.0;Sim
Espanha;41.0;73452.0;Nao
Franca;50.0;55972.0;Nao
Alemanha;25.0;46632.0;Nao
Alemanha;42.0;27722.0;Nao
Franca;48.0;49212.0;Sim
Franca;40.0;56833.0;Nao
Alemanha;50.0;45192.0;Nao
Alemanha;34.0;58031.0;Sim
Espanha;54.0;61152.0;Nao
Alemanha;62.0;56627.0;Sim
Espanha;36.0;50249.0;Nao
Espanha;35.0;;Nao
Espanha;54.0;66629.0;Sim
Espanha;55.0;43644.0;Nao
Espanha;34.0;;Nao
Franca;35.0;58521.0;Nao
Alemanha;37.0;60282.0;Sim
Espanha;26.0;70623.0;Nao
Alemanha;30.0;63498.0;Sim
Alemanha;29.0;74297.0;Sim
Espanha;32.0;64306.0;Sim
Franca;39.0;50813.0;Nao
Espanha;42.0;65422.0;Nao
Franca;55.0;42844.0;Nao
Alemanha;30.0;61628.0;Nao
Franca;49.0;59501.0;Sim
Franca;37.0;;Sim
Franca;39.0;58071.0;Sim
Alemanha;46.0;31772.0;Sim
Alemanha;28.0;51769.0;Sim
Franca;43.0;61392.0;Sim
Franca;41.0;62397.0;Sim
Espanha;44.0;44584.0;Sim
Franca;42.0;78985.0;Sim
Espanha;64.0;;Sim
Franca;33.0;74541.0;Nao
Espanha;;66407.0;Nao
Alemanha;33.0;50306.0;Nao
Franca;34.0;86629.0;Sim
Franca;33.0;42095.0;Sim
Franca;51.0;73787.0;Nao
Franca;54.0;75008.0;Sim
Espanha;34.0;;Sim
Franca;31.0;80886.0;Sim
Alemanha;44.0;56249.0;Sim
Alemanha;34.0;64330.0;Sim
Franca;46.0;63904.0;Sim
Alemanha;42.0;57985.0;Nao
Franca;24.0;72162.0;Sim
Franca;55.0;71902.0;Sim
Alemanha;57.0;33772.0;Nao
Franca;33.0;79565.0;Sim
Alemanha;36.0;35062.0;Sim
Espanha;42.0;75488.0;Nao
Franca;43.0;76900.0;Sim
Espanha;46.0;43635.0;Sim
Alemanha;60.0;53837.0;Sim
Espanha;38.0;43414.0;Sim
Espanha;32.0;56776.0;Nao
Alemanha;26.0;55379.0;Nao
Espanha;32.0;71694.0;Sim
Espanha;39.0;79654.0;Nao
Alemanha;57.0;80935.0;Nao
Espanha;34.0;51567.0;Sim
Alemanha;42.0;56861.0;Nao
Espanha;39.0;34748.0;Sim
Alemanha;51.0;47911.0;Sim
Alemanha;65.0;74472.0;Sim
Espanha;34.0;84233.0;Sim
Espanha;35.0;41484.0;Sim
Espanha;50.0;51113.0;Nao
Franca;46.0;59603.0;Sim
Franca;58.0;64202.0;Sim
Franca;45.0;47855.0;Sim
Alemanha;36.0;66360.0;Nao
Espanha;45.0;52892.0;Nao
Alemanha;51.0;59783.0;Nao
Franca;48.0;68194.0;Nao
Espanha;45.0;60096.0;Nao
Alemanha;50.0;53454.0;Sim
Espanha;;58355.0;Nao
Alemanha;53.0;58674.0;Nao
Espanha;46.0;54449.0;Nao
Franca;38.0;56118.0;Nao
Franca;41.0;83979.0;Sim
Espanha;52.0;;Sim
Alemanha;31.0;55567.0;Sim
Franca;43.0;70454.0;Nao
Franca;36.0;54992.0;Sim
Franca;40.0;77596.0;Sim
Espanha;52.0;65544.0;Nao
Espanha;41.0;58390.0;Sim
Alemanha;40.0;66715.0;Nao
Alemanha;26.0;36436.0;Sim
Alemanha;47.0;43098.0;Sim
Espanha;46.0;42091.0;Sim
Espanha;61.0;62144.0;Nao
Alemanha;36.0;85987.0;Sim
Alemanha;42.0;93469.0;Sim
Espanha;42.0;69570.0;Nao
Alemanha;55.0;67512.0;Sim
Franca;39.0;32984.0;Nao
Espanha;42.0;51859.0;Nao
Alemanha;46.0;48183.0;Sim
Espanha;41.0;50687.0;Nao
Franca;35.0;;Sim
Espanha;41.0;52918.0;Nao
Espanha;50.0;30310.0;Sim
Espanha;29.0;71218.0;Nao
Espanha;41.0;43908.0;Sim
Franca;32.0;63588.0;Nao
Espanha;51.0;91111.0;Sim
Espanha;24.0;46209.0;Sim
Alemanha;34.0;22045.0;Sim
Espanha;43.0;55709.0;Sim
Alemanha;55.0;76514.0;Nao
Franca;39.0;89375.0;Sim
Franca;34.0;41556.0;Nao
Franca;58.0;67450.0;Nao
Franca;25.0;53020.0;Nao
Alemanha;18.0;58410.0;Sim
Espanha;44.0;99665.0;Sim
Franca;34.0;;Nao
Espanha;29.0;63806.0;Sim
Alemanha;47.0;67015.0;Sim
Alemanha;42.0;76286.0;Nao
Alemanha;34.0;61469.0;Nao
Franca;27.0;64620.0;Nao
Espanha;48.0;54125.0;Sim
Espanha;46.0;64036.0;Nao
Espanha;;54852.0;Sim
Alemanha;58.0;69323.0;Sim
Franca;29.0;54455.0;Nao
Alemanha;24.0;65656.0;Sim
Alemanha;33.0;59561.0;Sim
Espanha;39.0;76890.0;Sim
Alemanha;42.0;59229.0;Nao
Espanha;37.0;33404.0;Nao
Franca;43.0;78928.0;Nao
Espanha;27.0;46414.0;Nao
Franca;54.0;50193.0;Sim
Espanha;39.0;51065.0;Sim
Alemanha;51.0;80616.0;Sim
Alemanha;43.0;27964.0;Sim
Franca;44.0;107066.0;Sim
Franca;45.0;75840.0;Nao
Franca;44.0;63348.0;Sim
Espanha;46.0;59176.0;Sim
Espanha;53.0;64283.0;Sim
Franca;41.0;67816.0;Sim
Alemanha;47.0;69678.0;Nao
Espanha;39.0;68334.0;Sim
Espanha;54.0;61343.0;Sim
Espanha;33.0;57039.0;Nao
Franca;58.0;57730.0;Sim
Franca;;57076.0;Sim
Franca;;77006.0;Sim
Franca;41.0;68903.0;Nao
Franca;33.0;20000.0;Nao
Alemanha;48.0;69838.0;Nao
Alemanha;33.0;62921.0;Sim
Franca;35.0;59719.0;Nao
Espanha;21.0;54172.0;Sim
Franca;35.0;76861.0;Sim
Alemanha;18.0;;Sim
Alemanha;24.0;48406.0;Sim
Espanha;47.0;66105.0;Nao
Alemanha;47.0;45425.0;Nao
Franca;44.0;39305.0;Nao
Espanha;30.0;50599.0;Nao
Franca;39.0;;Nao
Franca;39.0;74296.0;Sim
Espanha;28.0;67696.0;Sim
Franca;55.0;70876.0;Nao
Alemanha;48.0;67742.0;Sim
Franca;37.0;50377.0;Nao
Espanha;40.0;66478.0;Sim
Espanha;42.0;72006.0;Sim
Espanha;19.0;;Sim
Franca;37.0;77833.0;Sim
Espanha;33.0;70624.0;Sim
Espanha;29.0;65271.0;Nao
Franca;37.0;76052.0;Sim
Alemanha;57.0;59602.0;Nao
Franca;46.0;46771.0;Sim
Espanha;34.0;57553.0;Sim
Espanha;45.0;48826.0;Sim
Franca;53.0;49872.0;Nao
Alemanha;49.0;57832.0;Sim
Espanha;40.0;48113.0;Nao
Espanha;33.0;55380.0;Sim
Espanha;46.0;31595.0;Nao
Franca;43.0;63199.0;Sim
Espanha;48.0;60018.0;Nao
Alemanha;46.0;47743.0;Nao
Espanha;50.0;69888.0;Nao
Espanha;34.0;74063.0;Sim
Alemanha;53.0;35886.0;Sim
Espanha;41.0;48559.0;Sim
Franca;;48462.0;Nao
Franca;33.0;45901.0;Nao
Franca;57.0;72442.0;Nao
Alemanha;41.0;57092.0;Sim
Espanha;33.0;56032.0;Sim
Franca;35.0;29942.0;Sim
Alemanha;;69531.0;Nao
Espanha;44.0;41411.0;Nao
Alemanha;45.0;60898.0;Nao
Franca;34.0;64160.0;Sim
Franca;39.0;80409.0;Nao
Franca;61.0;40367.0;Nao
Alemanha;57.0;20000.0;Sim
Alemanha;44.0;62757.0;Nao
Franca;40.0;87007.0;Nao
Alemanha;41.0;78584.0;Nao
Franca;46.0;63144.0;Nao
Franca;29.0;52625.0;Sim
Espanha;37.0;72106.0;Sim
Alemanha;23.0;45396.0;Nao
Franca;43.0;67145.0;Sim
Franca;;67582.0;Nao
Alemanha;35.0;75903.0;Nao
Espanha;55.0;101394.0;Nao
Espanha;27.0;65886.0;Nao
Franca;25.0;52365.0;Sim
Alemanha;42.0;59616.0;Sim
Espanha;50.0;33463.0;Sim
Alemanha;56.0;49579.0;Sim
Alemanha;35.0;53860.0;Sim
Franca;50.0;52138.0;Sim
Espanha;39.0;62285.0;Nao
Franca;38.0;47663.0;Nao
Espanha;48.0;76815.0;Sim
Espanha;;60003.0;Sim
Espanha;24.0;59860.0;Nao
Espanha;54.0;55081.0;Sim
Espanha;53.0;62327.0;Sim
Alemanha;33.0;72376.0;Sim
Franca;43.0;46993.0;Nao
Alemanha;44.0;50128.0;Sim
Espanha;42.0;55444.0;Nao
Franca;34.0;39811.0;Sim
Espanha;33.0;;Nao
Franca;39.0;52856.0;Sim
Alemanha;51.0;73115.0;Sim
Franca;45.0;63938.0;Nao
Franca;36.0;62903.0;Nao
Franca;47.0;72763.0;Nao
Franca;18.0;57939.0;Nao
Franca;51.0;65856.0;Nao
Espanha;22.0;58451.0;Nao
Franca;36.0;63980.0;Nao
Franca;28.0;51258.0;Sim
Alemanha;27.0;23417.0;Sim
Franca;51.0;57985.0;Sim
Alemanha;35.0;81341.0;Nao
Espanha;43.0;73893.0;Sim
Franca;39.0;74480.0;Sim
Alemanha;44.0;78541.0;Nao
Alemanha;40.0;61329.0;Nao
Espanha;27.0;62959.0;Nao
Franca;49.0;50735.0;Sim
Franca;35.0;;Nao
Alemanha;24.0;69236.0;Sim
Franca;35.0;78058.0;Sim
Alemanha;55.0;57908.0;Sim
Franca;48.0;53247.0;Sim
Alemanha;;60007.0;Sim
Franca;36.0;69018.0;Nao
Espanha;36.0;38342.0;Sim
Franca;60.0;25557.0;Nao
Franca;43.0;51741.0;Nao
Espanha;44.0;41689.0;Sim
Franca;50.0;52377.0;Sim
Espanha;42.0;57783.0;Sim
Franca;37.0;53201.0;Nao
Alemanha;38.0;81787.0;Sim
Alemanha;39.0;64901.0;Sim
Franca;39.0;64507.0;Sim
Franca;47.0;69333.0;Nao
Franca;40.0;42917.0;Nao
Alemanha;47.0;75586.0;Sim
Franca;39.0;58863.0;Nao
Alemanha;40.0;70057.0;Nao
Espanha;20.0;43922.0;Nao
Alemanha;49.0;36693.0;Nao
Alemanha;43.0;72268.0;Nao
Espanha;49.0;65646.0;Nao
Alemanha;18.0;46469.0;Nao
Franca;60.0;46955.0;Sim
Franca;38.0;76881.0;Sim
Alemanha;51.0;42158.0;Sim
Franca;29.0;84640.0;Nao
Alemanha;46.0;46490.0;Nao
Franca;29.0;;Sim
Franca;33.0;55070.0;Nao
Alemanha;59.0;69047.0;Sim
Franca;;51838.0;Sim
Alemanha;42.0;57558.0;Nao
Franca;48.0;60613.0;Sim
Franca;44.0;44967.0;Sim
Espanha;41.0;71112.0;Nao
Espanha;;52301.0;Nao
Alemanha;64.0;56571.0;Sim
Espanha;39.0;45084.0;Nao
Alemanha;42.0;21564.0;Nao
Espanha;50.0;57134.0;Sim
Franca;;96189.0;Sim
Alemanha;51.0;71769.0;Nao
Alemanha;46.0;59711.0;Sim
Franca;28.0;56056.0;Nao
Alemanha;56.0;60336.0;Nao
Alemanha;28.0;68206.0;Nao
Espanha;43.0;42287.0;Sim
Alemanha;32.0;76714.0;Nao
Franca;39.0;;Sim
Espanha;43.0;70772.0;Sim
Espanha;43.0;66577.0;Sim
Franca;44.0;60294.0;Sim
Franca;56.0;70092.0;Nao
Espanha;44.0;68877.0;Sim
Alemanha;37.0;54689.0;Sim
Espanha;49.0;51395.0;Nao
Franca;51.0;61527.0;Sim
Espanha;27.0;83235.0;Nao
Franca;45.0;41413.0;Sim
Espanha;47.0;37987.0;Nao
Alemanha;37.0;62471.0;Nao
Espanha;53.0;60763.0;Sim
Espanha;38.0;62600.0;Sim
Franca;41.0;63659.0;Sim
Franca;38.0;56651.0;Nao
Franca;40.0;82347.0;Sim
Espanha;29.0;35986.0;Sim
Alemanha;25.0;47572.0;Sim
Franca;55.0;58451.0;Sim
Franca;31.0;35352.0;Sim
Espanha;30.0;57362.0;Nao
Franca;18.0;84922.0;Sim
Alemanha;33.0;60313.0;Sim
Alemanha;26.0;63460.0;Nao
Franca;56.0;41097.0;Nao
Franca;50.0;50754.0;Sim
Espanha;33.0;54372.0;Sim
Alemanha;62.0;55234.0;Sim
Alemanha;;79224.0;Nao
Franca;36.0;68365.0;Sim
Espanha;18.0;43328.0;Nao
Alemanha;62.0;63697.0;Nao
Alemanha;26.0;67473.0;Nao
Espanha;23.0;77102.0;Sim
Espanha;;83708.0;Sim
Alemanha;64.0;44773.0;Sim
Alemanha;53.0;47837.0;Sim
Espanha;45.0;41136.0;Nao
Alemanha;;56489.0;Nao
Franca;48.0;;Nao
Franca;47.0;74810.0;Nao
Espanha;42.0;58860.0;Sim
Espanha;41.0;55202.0;Sim
Espanha;39.0;62276.0;Sim
Franca;32.0;47472.0;Nao
Alemanha;37.0;91343.0;Nao
Franca;23.0;35885.0;Nao
Alemanha;39.0;62771.0;Sim
Franca;30.0;90354.0;Sim
Alemanha;28.0;60101.0;Nao
Franca;41.0;57149.0;Sim
Espanha;53.0;54638.0;Nao
Franca;49.0;57294.0;Nao
Alemanha;;;Nao
Franca;30.0;26822.0;Sim
Franca;49.0;83001.0;Sim
Franca;30.0;;Sim
Espanha;37.0;56000.0;Sim
Franca;45.0;53561.0;Sim
Espanha;30.0;68828.0;Nao
Espanha;41.0;36028.0;Nao
Franca;26.0;66932.0;Sim
Franca;33.0;90364.0;Sim
Franca;43.0;39552.0;Sim
Alemanha;24.0;62845.0;Sim
Franca;44.0;50070.0;Nao
Espanha;39.0;66388.0;Sim
Franca;45.0;60287.0;Sim
Alemanha;42.0;50377.0;Sim
Franca;53.0;67318.0;Nao
Alemanha;41.0;87065.0;Nao
Alemanha;35.0;;Sim
Franca;41.0;70796.0;Nao
Espanha;45.0;40600.0;Nao
Alemanha;40.0;45653.0;Nao
Franca;40.0;67086.0;Sim
Franca;32.0;82261.0;Nao
Espanha;33.0;65334.0;Nao
Alemanha;25.0;55304.0;Nao
Alemanha;57.0;59989.0;Nao
Franca;27.0;41243.0;Nao
Franca;33.0;69067.0;Sim
Espanha;32.0;73234.0;Nao
Espanha;48.0;53218.0;Nao
Alemanha;37.0;52949.0;Nao
Alemanha;52.0;63988.0;Sim
Franca;33.0;53449.0;Nao
Alemanha;42.0;59008.0;Nao
Espanha;31.0;91495.0;Sim
Espanha;61.0;56294.0;Nao
Franca;28.0;54624.0;Nao
Espanha;43.0;50286.0;Nao
Espanha;46.0;71162.0;Sim
Espanha;44.0;57281.0;Sim
Espanha;38.0;50259.0;Nao
Franca;38.0;79819.0;Sim
Franca;40.0;81294.0;Nao
Alemanha;38.0;50993.0;Sim
Espanha;49.0;32001.0;Nao
Alemanha;62.0;75112.0;Sim
Franca;34.0;49730.0;Nao
Franca;26.0;71859.0;Sim
Franca;39.0;;Sim
Franca;65.0;73388.0;Sim
Franca;31.0;41832.0;Sim
Franca;56.0;70961.0;Nao
Franca;56.0;60214.0;Nao
Espanha;34.0;45690.0;Sim
Alemanha;45.0;;Nao
Franca;56.0;70294.0;Sim
Espanha;;61588.0;Nao
Espanha;37.0;68766.0;Nao
Alemanha;;89646.0;Nao
Franca;29.0;36536.0;Sim
Alemanha;33.0;84258.0;Nao
Franca;27.0;61565.0;Sim
Espanha;40.0;46518.0;Nao
Espanha;32.0;40045.0;Sim
Espanha;42.0;57163.0;Nao
Espanha;24.0;73824.0;Nao
Alemanha;43.0;58086.0;Nao
Franca;48.0;82667.0;Sim
Franca;20.0;38232.0;Nao
Alemanha;43.0;59818.0;Sim
Franca;52.0;41214.0;Nao
Espanha;27.0;65454.0;Sim
Franca;56.0;73303.0;Sim
Espanha;44.0;53688.0;Nao
Alemanha;32.0;20936.0;Sim
Franca;39.0;62984.0;Sim
Alemanha;45.0;66551.0;Sim
Franca;40.0;66064.0;Sim
Espanha;45.0;78536.0;Nao
Alemanha;30.0;43934.0;Nao
Franca;41.0;;Sim
Espanha;25.0;77887.0;Sim
Alemanha;;33321.0;Sim
Alemanha;;64794.0;Sim
Franca;32.0;52437.0;Nao
Franca;52.0;58777.0;Nao
Franca;50.0;65215.0;Sim
Espanha;46.0;52691.0;Sim
Franca;29.0;49864.0;Sim
Alemanha;36.0;60512.0;Nao
Alemanha;52.0;43691.0;Nao
Franca;41.0;43712.0;Sim
Franca;63.0;70190.0;Sim
Alemanha;;42768.0;Nao
Espanha;41.0;69994.0;Nao
Franca;36.0;;Sim
Franca;41.0;34112.0;Sim
Alemanha;38.0;49836.0;Sim
Franca;47.0;77911.0;Nao
Espanha;49.0;45282.0;Sim
Alemanha;32.0;53033.0;Sim
Franca;26.0;66930.0;Nao
Alemanha;21.0;71750.0;Sim
Franca;45.0;56226.0;Nao
Franca;28.0;51037.0;Sim
Franca;18.0;;Sim
Espanha;43.0;86083.0;Nao
Espanha;64.0;74682.0;Sim
Alemanha;39.0;61279.0;Nao
Franca;48.0;47876.0;Nao
Franca;40.0;47543.0;Sim
Espanha;39.0;67837.0;Nao
Franca;;66275.0;Sim
Espanha;37.0;81023.0;Nao
Franca;42.0;;Sim
Alemanha;43.0;;Nao
Franca;33.0;75779.0;Sim
